001  00119 |Loss: 4.589 | Acc: 5.068% 
001  00120 |Loss: 4.586 | Acc: 5.117% 
001  00121 |Loss: 4.583 | Acc: 5.152% 
001  00122 |Loss: 4.582 | Acc: 5.174% 
001  00123 |Loss: 4.580 | Acc: 5.189% 
001  00124 |Loss: 4.576 | Acc: 5.223% 
001  00125 |Loss: 4.573 | Acc: 5.275% 
001  00126 |Loss: 4.570 | Acc: 5.320% 
001  00127 |Loss: 4.567 | Acc: 5.340% 
001  00128 |Loss: 4.564 | Acc: 5.396% 
001  00129 |Loss: 4.562 | Acc: 5.402% 
001  00130 |Loss: 4.559 | Acc: 5.433% 
001  00131 |Loss: 4.557 | Acc: 5.451% 
001  00132 |Loss: 4.554 | Acc: 5.492% 
001  00133 |Loss: 4.552 | Acc: 5.522% 
001  00134 |Loss: 4.550 | Acc: 5.556% 
001  00135 |Loss: 4.548 | Acc: 5.579% 
001  00136 |Loss: 4.545 | Acc: 5.601% 
001  00137 |Loss: 4.542 | Acc: 5.646% 
001  00138 |Loss: 4.539 | Acc: 5.667% 
001  00139 |Loss: 4.538 | Acc: 5.677% 
001  00140 |Loss: 4.536 | Acc: 5.703% 
001  00141 |Loss: 4.534 | Acc: 5.713% 
001  00142 |Loss: 4.531 | Acc: 5.749% 
001  00143 |Loss: 4.529 | Acc: 5.758% 
001  00144 |Loss: 4.527 | Acc: 5.756% 
001  00145 |Loss: 4.526 | Acc: 5.781% 
001  00146 |Loss: 4.525 | Acc: 5.801% 
001  00147 |Loss: 4.523 | Acc: 5.846% 
001  00148 |Loss: 4.521 | Acc: 5.870% 
001  00149 |Loss: 4.519 | Acc: 5.904% 
001  00150 |Loss: 4.518 | Acc: 5.927% 
001  00151 |Loss: 4.515 | Acc: 5.940% 
001  00152 |Loss: 4.514 | Acc: 5.926% 
001  00153 |Loss: 4.514 | Acc: 5.944% 
001  00154 |Loss: 4.511 | Acc: 5.976% 
001  00155 |Loss: 4.510 | Acc: 5.983% 
001  00156 |Loss: 4.509 | Acc: 6.005% 
001  00157 |Loss: 4.507 | Acc: 6.006% 
001  00158 |Loss: 4.505 | Acc: 6.018% 
001  00159 |Loss: 4.504 | Acc: 5.994% 
001  00160 |Loss: 4.502 | Acc: 6.035% 
001  00161 |Loss: 4.499 | Acc: 6.056% 
001  00162 |Loss: 4.498 | Acc: 6.076% 
001  00163 |Loss: 4.497 | Acc: 6.073% 
001  00164 |Loss: 4.496 | Acc: 6.098% 
001  00165 |Loss: 4.495 | Acc: 6.108% 
001  00166 |Loss: 4.493 | Acc: 6.142% 
001  00167 |Loss: 4.492 | Acc: 6.147% 
001  00168 |Loss: 4.490 | Acc: 6.157% 
001  00169 |Loss: 4.489 | Acc: 6.158% 
001  00170 |Loss: 4.487 | Acc: 6.172% 
001  00171 |Loss: 4.485 | Acc: 6.195% 
001  00172 |Loss: 4.482 | Acc: 6.236% 
001  00173 |Loss: 4.482 | Acc: 6.232% 
001  00174 |Loss: 4.479 | Acc: 6.263% 
001  00175 |Loss: 4.478 | Acc: 6.250% 
001  00176 |Loss: 4.477 | Acc: 6.254% 
001  00177 |Loss: 4.475 | Acc: 6.272% 
001  00178 |Loss: 4.474 | Acc: 6.285% 
001  00179 |Loss: 4.473 | Acc: 6.302% 
001  00180 |Loss: 4.470 | Acc: 6.324% 
001  00181 |Loss: 4.469 | Acc: 6.332% 
001  00182 |Loss: 4.468 | Acc: 6.323% 
001  00183 |Loss: 4.467 | Acc: 6.327% 
001  00184 |Loss: 4.466 | Acc: 6.343% 
001  00185 |Loss: 4.465 | Acc: 6.360% 
001  00186 |Loss: 4.464 | Acc: 6.376% 
001  00187 |Loss: 4.462 | Acc: 6.413% 
001  00188 |Loss: 4.461 | Acc: 6.429% 
001  00189 |Loss: 4.460 | Acc: 6.448% 
001  00190 |Loss: 4.459 | Acc: 6.447% 
001  00191 |Loss: 4.457 | Acc: 6.459% 
001  00192 |Loss: 4.456 | Acc: 6.478% 
001  00193 |Loss: 4.455 | Acc: 6.481% 
001  00194 |Loss: 4.453 | Acc: 6.500% 
001  00195 |Loss: 4.452 | Acc: 6.526% 
001  00196 |Loss: 4.451 | Acc: 6.541% 
001  00197 |Loss: 4.449 | Acc: 6.575% 
001  00198 |Loss: 4.448 | Acc: 6.577% 
001  00199 |Loss: 4.447 | Acc: 6.592% 
001  00200 |Loss: 4.446 | Acc: 6.625% 
001  00201 |Loss: 4.444 | Acc: 6.635% 
001  00202 |Loss: 4.444 | Acc: 6.660% 
001  00203 |Loss: 4.443 | Acc: 6.677% 
001  00204 |Loss: 4.442 | Acc: 6.679% 
001  00205 |Loss: 4.440 | Acc: 6.696% 
001  00206 |Loss: 4.440 | Acc: 6.686% 
001  00207 |Loss: 4.438 | Acc: 6.714% 
001  00208 |Loss: 4.437 | Acc: 6.742% 
001  00209 |Loss: 4.435 | Acc: 6.773% 
001  00210 |Loss: 4.434 | Acc: 6.797% 
001  00211 |Loss: 4.432 | Acc: 6.824% 
001  00212 |Loss: 4.431 | Acc: 6.832% 
001  00213 |Loss: 4.430 | Acc: 6.837% 
001  00214 |Loss: 4.429 | Acc: 6.845% 
001  00215 |Loss: 4.428 | Acc: 6.860% 
001  00216 |Loss: 4.426 | Acc: 6.887% 
001  00217 |Loss: 4.425 | Acc: 6.916% 
001  00218 |Loss: 4.423 | Acc: 6.949% 
001  00219 |Loss: 4.422 | Acc: 6.963% 
001  00220 |Loss: 4.421 | Acc: 6.967% 
001  00221 |Loss: 4.419 | Acc: 6.968% 
001  00222 |Loss: 4.418 | Acc: 6.993% 
001  00223 |Loss: 4.416 | Acc: 7.014% 
001  00224 |Loss: 4.415 | Acc: 7.014% 
001  00225 |Loss: 4.414 | Acc: 7.035% 
001  00226 |Loss: 4.412 | Acc: 7.062% 
001  00227 |Loss: 4.411 | Acc: 7.086% 
001  00228 |Loss: 4.409 | Acc: 7.124% 
001  00229 |Loss: 4.408 | Acc: 7.147% 
001  00230 |Loss: 4.407 | Acc: 7.147% 
001  00231 |Loss: 4.406 | Acc: 7.173% 
001  00232 |Loss: 4.405 | Acc: 7.179% 
001  00233 |Loss: 4.404 | Acc: 7.179% 
001  00234 |Loss: 4.403 | Acc: 7.202% 
001  00235 |Loss: 4.402 | Acc: 7.197% 
001  00236 |Loss: 4.401 | Acc: 7.217% 
001  00237 |Loss: 4.400 | Acc: 7.242% 
001  00238 |Loss: 4.399 | Acc: 7.248% 
