001  00119 |Loss: 4.345 | Acc: 5.049% 
001  00120 |Loss: 4.344 | Acc: 5.039% 
001  00121 |Loss: 4.341 | Acc: 5.049% 
001  00122 |Loss: 4.339 | Acc: 5.072% 
001  00123 |Loss: 4.338 | Acc: 5.062% 
001  00124 |Loss: 4.335 | Acc: 5.072% 
001  00125 |Loss: 4.332 | Acc: 5.106% 
001  00126 |Loss: 4.330 | Acc: 5.122% 
001  00127 |Loss: 4.328 | Acc: 5.137% 
001  00128 |Loss: 4.326 | Acc: 5.151% 
001  00129 |Loss: 4.324 | Acc: 5.148% 
001  00130 |Loss: 4.321 | Acc: 5.174% 
001  00131 |Loss: 4.320 | Acc: 5.182% 
001  00132 |Loss: 4.317 | Acc: 5.185% 
001  00133 |Loss: 4.315 | Acc: 5.187% 
001  00134 |Loss: 4.312 | Acc: 5.183% 
001  00135 |Loss: 4.311 | Acc: 5.168% 
001  00136 |Loss: 4.308 | Acc: 5.176% 
001  00137 |Loss: 4.305 | Acc: 5.201% 
001  00138 |Loss: 4.301 | Acc: 5.208% 
001  00139 |Loss: 4.299 | Acc: 5.221% 
001  00140 |Loss: 4.297 | Acc: 5.251% 
001  00141 |Loss: 4.295 | Acc: 5.264% 
001  00142 |Loss: 4.291 | Acc: 5.315% 
001  00143 |Loss: 4.289 | Acc: 5.343% 
001  00144 |Loss: 4.288 | Acc: 5.344% 
001  00145 |Loss: 4.286 | Acc: 5.356% 
001  00146 |Loss: 4.284 | Acc: 5.378% 
001  00147 |Loss: 4.281 | Acc: 5.405% 
001  00148 |Loss: 4.278 | Acc: 5.437% 
001  00149 |Loss: 4.276 | Acc: 5.464% 
001  00150 |Loss: 4.274 | Acc: 5.495% 
001  00151 |Loss: 4.271 | Acc: 5.510% 
001  00152 |Loss: 4.270 | Acc: 5.510% 
001  00153 |Loss: 4.268 | Acc: 5.520% 
001  00154 |Loss: 4.266 | Acc: 5.540% 
001  00155 |Loss: 4.265 | Acc: 5.554% 
001  00156 |Loss: 4.263 | Acc: 5.584% 
001  00157 |Loss: 4.262 | Acc: 5.588% 
001  00158 |Loss: 4.260 | Acc: 5.617% 
001  00159 |Loss: 4.257 | Acc: 5.641% 
001  00160 |Loss: 4.255 | Acc: 5.669% 
001  00161 |Loss: 4.254 | Acc: 5.682% 
001  00162 |Loss: 4.252 | Acc: 5.705% 
001  00163 |Loss: 4.250 | Acc: 5.723% 
001  00164 |Loss: 4.248 | Acc: 5.736% 
001  00165 |Loss: 4.246 | Acc: 5.758% 
001  00166 |Loss: 4.246 | Acc: 5.756% 
001  00167 |Loss: 4.243 | Acc: 5.778% 
001  00168 |Loss: 4.241 | Acc: 5.804% 
001  00169 |Loss: 4.240 | Acc: 5.825% 
001  00170 |Loss: 4.237 | Acc: 5.873% 
001  00171 |Loss: 4.235 | Acc: 5.898% 
001  00172 |Loss: 4.233 | Acc: 5.909% 
001  00173 |Loss: 4.231 | Acc: 5.916% 
001  00174 |Loss: 4.229 | Acc: 5.927% 
001  00175 |Loss: 4.228 | Acc: 5.951% 
001  00176 |Loss: 4.227 | Acc: 5.979% 
001  00177 |Loss: 4.224 | Acc: 6.007% 
001  00178 |Loss: 4.222 | Acc: 6.009% 
001  00179 |Loss: 4.220 | Acc: 6.036% 
001  00180 |Loss: 4.218 | Acc: 6.042% 
001  00181 |Loss: 4.216 | Acc: 6.047% 
001  00182 |Loss: 4.215 | Acc: 6.070% 
001  00183 |Loss: 4.213 | Acc: 6.084% 
001  00184 |Loss: 4.212 | Acc: 6.097% 
001  00185 |Loss: 4.210 | Acc: 6.119% 
001  00186 |Loss: 4.208 | Acc: 6.128% 
001  00187 |Loss: 4.207 | Acc: 6.154% 
001  00188 |Loss: 4.204 | Acc: 6.200% 
001  00189 |Loss: 4.203 | Acc: 6.209% 
001  00190 |Loss: 4.202 | Acc: 6.217% 
001  00191 |Loss: 4.200 | Acc: 6.234% 
001  00192 |Loss: 4.199 | Acc: 6.238% 
001  00193 |Loss: 4.198 | Acc: 6.246% 
001  00194 |Loss: 4.196 | Acc: 6.250% 
001  00195 |Loss: 4.194 | Acc: 6.270% 
001  00196 |Loss: 4.193 | Acc: 6.294% 
001  00197 |Loss: 4.191 | Acc: 6.313% 
001  00198 |Loss: 4.190 | Acc: 6.313% 
001  00199 |Loss: 4.188 | Acc: 6.344% 
001  00200 |Loss: 4.186 | Acc: 6.363% 
001  00201 |Loss: 4.185 | Acc: 6.370% 
001  00202 |Loss: 4.184 | Acc: 6.385% 
001  00203 |Loss: 4.183 | Acc: 6.381% 
001  00204 |Loss: 4.182 | Acc: 6.399% 
001  00205 |Loss: 4.180 | Acc: 6.410% 
001  00206 |Loss: 4.179 | Acc: 6.413% 
001  00207 |Loss: 4.177 | Acc: 6.420% 
001  00208 |Loss: 4.176 | Acc: 6.460% 
001  00209 |Loss: 4.174 | Acc: 6.478% 
001  00210 |Loss: 4.172 | Acc: 6.514% 
001  00211 |Loss: 4.171 | Acc: 6.520% 
001  00212 |Loss: 4.170 | Acc: 6.523% 
001  00213 |Loss: 4.169 | Acc: 6.543% 
001  00214 |Loss: 4.167 | Acc: 6.590% 
001  00215 |Loss: 4.165 | Acc: 6.602% 
001  00216 |Loss: 4.164 | Acc: 6.615% 
001  00217 |Loss: 4.162 | Acc: 6.632% 
001  00218 |Loss: 4.161 | Acc: 6.637% 
001  00219 |Loss: 4.160 | Acc: 6.646% 
001  00220 |Loss: 4.158 | Acc: 6.658% 
001  00221 |Loss: 4.156 | Acc: 6.688% 
001  00222 |Loss: 4.155 | Acc: 6.707% 
001  00223 |Loss: 4.153 | Acc: 6.719% 
001  00224 |Loss: 4.152 | Acc: 6.721% 
001  00225 |Loss: 4.152 | Acc: 6.726% 
001  00226 |Loss: 4.150 | Acc: 6.734% 
001  00227 |Loss: 4.148 | Acc: 6.752% 
001  00228 |Loss: 4.147 | Acc: 6.750% 
001  00229 |Loss: 4.146 | Acc: 6.752% 
001  00230 |Loss: 4.145 | Acc: 6.770% 
