001  00119 |Loss: 4.198 | Acc: 5.200% 
001  00120 |Loss: 4.195 | Acc: 5.228% 
001  00121 |Loss: 4.191 | Acc: 5.249% 
001  00122 |Loss: 4.187 | Acc: 5.264% 
001  00123 |Loss: 4.183 | Acc: 5.310% 
001  00124 |Loss: 4.181 | Acc: 5.324% 
001  00125 |Loss: 4.177 | Acc: 5.356% 
001  00126 |Loss: 4.173 | Acc: 5.388% 
001  00127 |Loss: 4.170 | Acc: 5.413% 
001  00128 |Loss: 4.166 | Acc: 5.432% 
001  00129 |Loss: 4.163 | Acc: 5.420% 
001  00130 |Loss: 4.160 | Acc: 5.457% 
001  00131 |Loss: 4.159 | Acc: 5.475% 
001  00132 |Loss: 4.155 | Acc: 5.510% 
001  00133 |Loss: 4.151 | Acc: 5.563% 
001  00134 |Loss: 4.149 | Acc: 5.585% 
001  00135 |Loss: 4.148 | Acc: 5.556% 
001  00136 |Loss: 4.146 | Acc: 5.572% 
001  00137 |Loss: 4.142 | Acc: 5.606% 
001  00138 |Loss: 4.139 | Acc: 5.627% 
001  00139 |Loss: 4.138 | Acc: 5.626% 
001  00140 |Loss: 4.136 | Acc: 5.631% 
001  00141 |Loss: 4.133 | Acc: 5.657% 
001  00142 |Loss: 4.131 | Acc: 5.667% 
001  00143 |Loss: 4.127 | Acc: 5.665% 
001  00144 |Loss: 4.125 | Acc: 5.669% 
001  00145 |Loss: 4.124 | Acc: 5.647% 
001  00146 |Loss: 4.122 | Acc: 5.693% 
001  00147 |Loss: 4.119 | Acc: 5.703% 
001  00148 |Loss: 4.116 | Acc: 5.722% 
001  00149 |Loss: 4.112 | Acc: 5.741% 
001  00150 |Loss: 4.110 | Acc: 5.760% 
001  00151 |Loss: 4.107 | Acc: 5.779% 
001  00152 |Loss: 4.104 | Acc: 5.793% 
001  00153 |Loss: 4.100 | Acc: 5.806% 
001  00154 |Loss: 4.096 | Acc: 5.864% 
001  00155 |Loss: 4.095 | Acc: 5.867% 
001  00156 |Loss: 4.093 | Acc: 5.899% 
001  00157 |Loss: 4.090 | Acc: 5.927% 
001  00158 |Loss: 4.087 | Acc: 5.938% 
001  00159 |Loss: 4.085 | Acc: 5.950% 
001  00160 |Loss: 4.083 | Acc: 5.952% 
001  00161 |Loss: 4.082 | Acc: 5.964% 
001  00162 |Loss: 4.078 | Acc: 5.999% 
001  00163 |Loss: 4.076 | Acc: 5.996% 
001  00164 |Loss: 4.074 | Acc: 6.021% 
001  00165 |Loss: 4.073 | Acc: 6.046% 
001  00166 |Loss: 4.071 | Acc: 6.048% 
001  00167 |Loss: 4.068 | Acc: 6.058% 
001  00168 |Loss: 4.066 | Acc: 6.092% 
001  00169 |Loss: 4.065 | Acc: 6.107% 
001  00170 |Loss: 4.063 | Acc: 6.121% 
001  00171 |Loss: 4.060 | Acc: 6.149% 
001  00172 |Loss: 4.057 | Acc: 6.182% 
001  00173 |Loss: 4.054 | Acc: 6.218% 
001  00174 |Loss: 4.054 | Acc: 6.219% 
001  00175 |Loss: 4.051 | Acc: 6.237% 
001  00176 |Loss: 4.049 | Acc: 6.263% 
001  00177 |Loss: 4.046 | Acc: 6.272% 
001  00178 |Loss: 4.043 | Acc: 6.307% 
001  00179 |Loss: 4.041 | Acc: 6.320% 
001  00180 |Loss: 4.039 | Acc: 6.354% 
001  00181 |Loss: 4.037 | Acc: 6.362% 
001  00182 |Loss: 4.036 | Acc: 6.366% 
001  00183 |Loss: 4.034 | Acc: 6.365% 
001  00184 |Loss: 4.034 | Acc: 6.360% 
001  00185 |Loss: 4.031 | Acc: 6.368% 
001  00186 |Loss: 4.028 | Acc: 6.393% 
001  00187 |Loss: 4.026 | Acc: 6.430% 
001  00188 |Loss: 4.025 | Acc: 6.433% 
001  00189 |Loss: 4.022 | Acc: 6.444% 
001  00190 |Loss: 4.021 | Acc: 6.451% 
001  00191 |Loss: 4.018 | Acc: 6.463% 
001  00192 |Loss: 4.017 | Acc: 6.482% 
001  00193 |Loss: 4.014 | Acc: 6.521% 
001  00194 |Loss: 4.012 | Acc: 6.532% 
001  00195 |Loss: 4.011 | Acc: 6.526% 
001  00196 |Loss: 4.010 | Acc: 6.561% 
001  00197 |Loss: 4.008 | Acc: 6.571% 
001  00198 |Loss: 4.007 | Acc: 6.581% 
001  00199 |Loss: 4.005 | Acc: 6.603% 
001  00200 |Loss: 4.003 | Acc: 6.625% 
001  00201 |Loss: 4.001 | Acc: 6.639% 
001  00202 |Loss: 3.999 | Acc: 6.668% 
001  00203 |Loss: 3.997 | Acc: 6.693% 
001  00204 |Loss: 3.994 | Acc: 6.729% 
001  00205 |Loss: 3.991 | Acc: 6.745% 
001  00206 |Loss: 3.990 | Acc: 6.770% 
001  00207 |Loss: 3.988 | Acc: 6.786% 
001  00208 |Loss: 3.988 | Acc: 6.783% 
001  00209 |Loss: 3.986 | Acc: 6.803% 
001  00210 |Loss: 3.985 | Acc: 6.819% 
001  00211 |Loss: 3.983 | Acc: 6.842% 
001  00212 |Loss: 3.981 | Acc: 6.858% 
001  00213 |Loss: 3.978 | Acc: 6.896% 
001  00214 |Loss: 3.977 | Acc: 6.900% 
001  00215 |Loss: 3.976 | Acc: 6.908% 
001  00216 |Loss: 3.976 | Acc: 6.905% 
001  00217 |Loss: 3.975 | Acc: 6.905% 
