001  00119 |Loss: 2.758 | Acc: 18.179% 
001  00120 |Loss: 2.751 | Acc: 18.236% 
001  00121 |Loss: 2.745 | Acc: 18.298% 
001  00122 |Loss: 2.738 | Acc: 18.379% 
001  00123 |Loss: 2.731 | Acc: 18.401% 
001  00124 |Loss: 2.725 | Acc: 18.429% 
001  00125 |Loss: 2.719 | Acc: 18.444% 
001  00126 |Loss: 2.714 | Acc: 18.471% 
001  00127 |Loss: 2.707 | Acc: 18.578% 
001  00128 |Loss: 2.700 | Acc: 18.652% 
001  00129 |Loss: 2.695 | Acc: 18.720% 
001  00130 |Loss: 2.688 | Acc: 18.840% 
001  00131 |Loss: 2.682 | Acc: 18.917% 
001  00132 |Loss: 2.677 | Acc: 18.957% 
001  00133 |Loss: 2.671 | Acc: 19.050% 
001  00134 |Loss: 2.665 | Acc: 19.100% 
001  00135 |Loss: 2.659 | Acc: 19.172% 
001  00136 |Loss: 2.653 | Acc: 19.256% 
001  00137 |Loss: 2.648 | Acc: 19.297% 
001  00138 |Loss: 2.642 | Acc: 19.327% 
001  00139 |Loss: 2.636 | Acc: 19.447% 
001  00140 |Loss: 2.630 | Acc: 19.503% 
001  00141 |Loss: 2.625 | Acc: 19.548% 
001  00142 |Loss: 2.620 | Acc: 19.603% 
001  00143 |Loss: 2.615 | Acc: 19.679% 
001  00144 |Loss: 2.610 | Acc: 19.672% 
001  00145 |Loss: 2.604 | Acc: 19.752% 
001  00146 |Loss: 2.599 | Acc: 19.820% 
001  00147 |Loss: 2.594 | Acc: 19.882% 
001  00148 |Loss: 2.589 | Acc: 20.012% 
001  00149 |Loss: 2.584 | Acc: 20.056% 
001  00150 |Loss: 2.580 | Acc: 20.109% 
001  00151 |Loss: 2.576 | Acc: 20.162% 
001  00152 |Loss: 2.572 | Acc: 20.230% 
001  00153 |Loss: 2.566 | Acc: 20.312% 
001  00154 |Loss: 2.562 | Acc: 20.373% 
001  00155 |Loss: 2.558 | Acc: 20.413% 
001  00156 |Loss: 2.554 | Acc: 20.483% 
001  00157 |Loss: 2.550 | Acc: 20.546% 
001  00158 |Loss: 2.545 | Acc: 20.619% 
001  00159 |Loss: 2.541 | Acc: 20.656% 
001  00160 |Loss: 2.536 | Acc: 20.776% 
001  00161 |Loss: 2.532 | Acc: 20.846% 
001  00162 |Loss: 2.527 | Acc: 20.891% 
001  00163 |Loss: 2.524 | Acc: 20.926% 
001  00164 |Loss: 2.519 | Acc: 20.965% 
001  00165 |Loss: 2.515 | Acc: 21.032% 
001  00166 |Loss: 2.510 | Acc: 21.089% 
001  00167 |Loss: 2.506 | Acc: 21.141% 
001  00168 |Loss: 2.503 | Acc: 21.191% 
001  00169 |Loss: 2.499 | Acc: 21.260% 
001  00170 |Loss: 2.495 | Acc: 21.319% 
001  00171 |Loss: 2.491 | Acc: 21.414% 
001  00172 |Loss: 2.487 | Acc: 21.471% 
001  00173 |Loss: 2.483 | Acc: 21.469% 
001  00174 |Loss: 2.480 | Acc: 21.529% 
001  00175 |Loss: 2.476 | Acc: 21.598% 
001  00176 |Loss: 2.472 | Acc: 21.680% 
001  00177 |Loss: 2.469 | Acc: 21.672% 
001  00178 |Loss: 2.465 | Acc: 21.708% 
001  00179 |Loss: 2.462 | Acc: 21.748% 
001  00180 |Loss: 2.459 | Acc: 21.766% 
001  00181 |Loss: 2.455 | Acc: 21.810% 
001  00182 |Loss: 2.451 | Acc: 21.875% 
001  00183 |Loss: 2.448 | Acc: 21.943% 
001  00184 |Loss: 2.444 | Acc: 21.994% 
001  00185 |Loss: 2.440 | Acc: 22.035% 
001  00186 |Loss: 2.437 | Acc: 22.077% 
001  00187 |Loss: 2.433 | Acc: 22.159% 
001  00188 |Loss: 2.429 | Acc: 22.232% 
001  00189 |Loss: 2.427 | Acc: 22.284% 
001  00190 |Loss: 2.424 | Acc: 22.323% 
001  00191 |Loss: 2.421 | Acc: 22.390% 
001  00192 |Loss: 2.418 | Acc: 22.428% 
001  00193 |Loss: 2.415 | Acc: 22.478% 
001  00194 |Loss: 2.412 | Acc: 22.515% 
001  00195 |Loss: 2.409 | Acc: 22.528% 
001  00196 |Loss: 2.406 | Acc: 22.573% 
001  00197 |Loss: 2.404 | Acc: 22.636% 
001  00198 |Loss: 2.401 | Acc: 22.660% 
001  00199 |Loss: 2.398 | Acc: 22.696% 
001  00200 |Loss: 2.395 | Acc: 22.754% 
001  00201 |Loss: 2.392 | Acc: 22.796% 
001  00202 |Loss: 2.389 | Acc: 22.861% 
001  00203 |Loss: 2.386 | Acc: 22.926% 
001  00204 |Loss: 2.382 | Acc: 22.993% 
001  00205 |Loss: 2.379 | Acc: 23.053% 
001  00206 |Loss: 2.377 | Acc: 23.092% 
001  00207 |Loss: 2.374 | Acc: 23.128% 
001  00208 |Loss: 2.372 | Acc: 23.152% 
001  00209 |Loss: 2.370 | Acc: 23.165% 
