001  00119 |Loss: 2.342 | Acc: 23.241% 
001  00120 |Loss: 2.338 | Acc: 23.288% 
001  00121 |Loss: 2.334 | Acc: 23.295% 
001  00122 |Loss: 2.331 | Acc: 23.341% 
001  00123 |Loss: 2.328 | Acc: 23.380% 
001  00124 |Loss: 2.324 | Acc: 23.393% 
001  00125 |Loss: 2.320 | Acc: 23.431% 
001  00126 |Loss: 2.317 | Acc: 23.481% 
001  00127 |Loss: 2.313 | Acc: 23.505% 
001  00128 |Loss: 2.309 | Acc: 23.553% 
001  00129 |Loss: 2.305 | Acc: 23.601% 
001  00130 |Loss: 2.301 | Acc: 23.678% 
001  00131 |Loss: 2.296 | Acc: 23.766% 
001  00132 |Loss: 2.294 | Acc: 23.781% 
001  00133 |Loss: 2.291 | Acc: 23.743% 
001  00134 |Loss: 2.288 | Acc: 23.822% 
001  00135 |Loss: 2.284 | Acc: 23.900% 
001  00136 |Loss: 2.281 | Acc: 23.920% 
001  00137 |Loss: 2.278 | Acc: 23.979% 
001  00138 |Loss: 2.274 | Acc: 24.060% 
001  00139 |Loss: 2.270 | Acc: 24.106% 
001  00140 |Loss: 2.267 | Acc: 24.096% 
001  00141 |Loss: 2.264 | Acc: 24.152% 
001  00142 |Loss: 2.260 | Acc: 24.230% 
001  00143 |Loss: 2.257 | Acc: 24.355% 
001  00144 |Loss: 2.253 | Acc: 24.409% 
001  00145 |Loss: 2.250 | Acc: 24.445% 
001  00146 |Loss: 2.248 | Acc: 24.508% 
001  00147 |Loss: 2.245 | Acc: 24.527% 
001  00148 |Loss: 2.242 | Acc: 24.578% 
001  00149 |Loss: 2.240 | Acc: 24.649% 
001  00150 |Loss: 2.238 | Acc: 24.688% 
001  00151 |Loss: 2.235 | Acc: 24.752% 
001  00152 |Loss: 2.233 | Acc: 24.753% 
001  00153 |Loss: 2.229 | Acc: 24.867% 
001  00154 |Loss: 2.226 | Acc: 24.954% 
001  00155 |Loss: 2.223 | Acc: 25.010% 
001  00156 |Loss: 2.220 | Acc: 25.075% 
001  00157 |Loss: 2.217 | Acc: 25.144% 
001  00158 |Loss: 2.214 | Acc: 25.203% 
001  00159 |Loss: 2.212 | Acc: 25.260% 
001  00160 |Loss: 2.209 | Acc: 25.293% 
001  00161 |Loss: 2.206 | Acc: 25.325% 
001  00162 |Loss: 2.203 | Acc: 25.405% 
001  00163 |Loss: 2.200 | Acc: 25.460% 
001  00164 |Loss: 2.197 | Acc: 25.486% 
001  00165 |Loss: 2.195 | Acc: 25.507% 
001  00166 |Loss: 2.192 | Acc: 25.569% 
001  00167 |Loss: 2.189 | Acc: 25.632% 
001  00168 |Loss: 2.187 | Acc: 25.679% 
001  00169 |Loss: 2.184 | Acc: 25.749% 
001  00170 |Loss: 2.181 | Acc: 25.800% 
001  00171 |Loss: 2.178 | Acc: 25.850% 
001  00172 |Loss: 2.176 | Acc: 25.899% 
001  00173 |Loss: 2.173 | Acc: 25.953% 
001  00174 |Loss: 2.171 | Acc: 25.997% 
001  00175 |Loss: 2.168 | Acc: 26.049% 
001  00176 |Loss: 2.166 | Acc: 26.119% 
001  00177 |Loss: 2.163 | Acc: 26.178% 
001  00178 |Loss: 2.161 | Acc: 26.216% 
001  00179 |Loss: 2.159 | Acc: 26.248% 
001  00180 |Loss: 2.156 | Acc: 26.332% 
001  00181 |Loss: 2.155 | Acc: 26.377% 
001  00182 |Loss: 2.152 | Acc: 26.404% 
001  00183 |Loss: 2.149 | Acc: 26.464% 
001  00184 |Loss: 2.148 | Acc: 26.516% 
001  00185 |Loss: 2.146 | Acc: 26.550% 
001  00186 |Loss: 2.144 | Acc: 26.588% 
001  00187 |Loss: 2.142 | Acc: 26.663% 
001  00188 |Loss: 2.140 | Acc: 26.704% 
001  00189 |Loss: 2.138 | Acc: 26.753% 
001  00190 |Loss: 2.136 | Acc: 26.768% 
001  00191 |Loss: 2.134 | Acc: 26.832% 
001  00192 |Loss: 2.132 | Acc: 26.892% 
001  00193 |Loss: 2.129 | Acc: 26.959% 
001  00194 |Loss: 2.126 | Acc: 27.046% 
001  00195 |Loss: 2.125 | Acc: 27.067% 
001  00196 |Loss: 2.123 | Acc: 27.105% 
001  00197 |Loss: 2.121 | Acc: 27.157% 
001  00198 |Loss: 2.118 | Acc: 27.194% 
001  00199 |Loss: 2.117 | Acc: 27.250% 
001  00200 |Loss: 2.115 | Acc: 27.270% 
001  00201 |Loss: 2.113 | Acc: 27.301% 
001  00202 |Loss: 2.111 | Acc: 27.375% 
001  00203 |Loss: 2.109 | Acc: 27.455% 
001  00204 |Loss: 2.107 | Acc: 27.516% 
001  00205 |Loss: 2.105 | Acc: 27.527% 
001  00206 |Loss: 2.103 | Acc: 27.640% 
001  00207 |Loss: 2.101 | Acc: 27.683% 
001  00208 |Loss: 2.099 | Acc: 27.693% 
001  00209 |Loss: 2.097 | Acc: 27.721% 
001  00210 |Loss: 2.094 | Acc: 27.775% 
001  00211 |Loss: 2.092 | Acc: 27.825% 
001  00212 |Loss: 2.090 | Acc: 27.878% 
