001  00119 |Loss: 2.421 | Acc: 30.607% 
001  00120 |Loss: 2.421 | Acc: 30.664% 
001  00121 |Loss: 2.420 | Acc: 30.727% 
001  00122 |Loss: 2.419 | Acc: 30.751% 
001  00123 |Loss: 2.418 | Acc: 30.793% 
001  00124 |Loss: 2.416 | Acc: 30.840% 
001  00125 |Loss: 2.415 | Acc: 30.906% 
001  00126 |Loss: 2.414 | Acc: 30.952% 
001  00127 |Loss: 2.413 | Acc: 31.004% 
001  00128 |Loss: 2.413 | Acc: 31.030% 
001  00129 |Loss: 2.411 | Acc: 31.093% 
001  00130 |Loss: 2.409 | Acc: 31.184% 
001  00131 |Loss: 2.408 | Acc: 31.250% 
001  00132 |Loss: 2.406 | Acc: 31.351% 
001  00133 |Loss: 2.405 | Acc: 31.403% 
001  00134 |Loss: 2.404 | Acc: 31.448% 
001  00135 |Loss: 2.402 | Acc: 31.539% 
001  00136 |Loss: 2.400 | Acc: 31.652% 
001  00137 |Loss: 2.399 | Acc: 31.735% 
001  00138 |Loss: 2.397 | Acc: 31.827% 
001  00139 |Loss: 2.396 | Acc: 31.835% 
001  00140 |Loss: 2.395 | Acc: 31.842% 
001  00141 |Loss: 2.393 | Acc: 31.926% 
001  00142 |Loss: 2.392 | Acc: 31.987% 
001  00143 |Loss: 2.392 | Acc: 31.982% 
001  00144 |Loss: 2.390 | Acc: 32.080% 
001  00145 |Loss: 2.387 | Acc: 32.198% 
001  00146 |Loss: 2.386 | Acc: 32.245% 
001  00147 |Loss: 2.385 | Acc: 32.297% 
001  00148 |Loss: 2.383 | Acc: 32.395% 
001  00149 |Loss: 2.381 | Acc: 32.493% 
001  00150 |Loss: 2.380 | Acc: 32.526% 
001  00151 |Loss: 2.379 | Acc: 32.575% 
001  00152 |Loss: 2.378 | Acc: 32.648% 
001  00153 |Loss: 2.377 | Acc: 32.700% 
001  00154 |Loss: 2.375 | Acc: 32.741% 
001  00155 |Loss: 2.374 | Acc: 32.757% 
001  00156 |Loss: 2.374 | Acc: 32.777% 
001  00157 |Loss: 2.372 | Acc: 32.822% 
001  00158 |Loss: 2.372 | Acc: 32.847% 
001  00159 |Loss: 2.371 | Acc: 32.906% 
001  00160 |Loss: 2.370 | Acc: 32.939% 
001  00161 |Loss: 2.368 | Acc: 33.031% 
001  00162 |Loss: 2.367 | Acc: 33.049% 
001  00163 |Loss: 2.366 | Acc: 33.100% 
001  00164 |Loss: 2.366 | Acc: 33.113% 
001  00165 |Loss: 2.366 | Acc: 33.120% 
001  00166 |Loss: 2.365 | Acc: 33.147% 
001  00167 |Loss: 2.363 | Acc: 33.196% 
001  00168 |Loss: 2.363 | Acc: 33.226% 
001  00169 |Loss: 2.362 | Acc: 33.261% 
001  00170 |Loss: 2.361 | Acc: 33.300% 
001  00171 |Loss: 2.360 | Acc: 33.329% 
001  00172 |Loss: 2.359 | Acc: 33.358% 
001  00173 |Loss: 2.358 | Acc: 33.395% 
001  00174 |Loss: 2.358 | Acc: 33.423% 
001  00175 |Loss: 2.357 | Acc: 33.429% 
001  00176 |Loss: 2.356 | Acc: 33.461% 
001  00177 |Loss: 2.355 | Acc: 33.536% 
001  00178 |Loss: 2.354 | Acc: 33.594% 
001  00179 |Loss: 2.353 | Acc: 33.616% 
001  00180 |Loss: 2.352 | Acc: 33.650% 
001  00181 |Loss: 2.352 | Acc: 33.676% 
001  00182 |Loss: 2.351 | Acc: 33.727% 
001  00183 |Loss: 2.350 | Acc: 33.790% 
001  00184 |Loss: 2.348 | Acc: 33.865% 
001  00185 |Loss: 2.346 | Acc: 33.957% 
001  00186 |Loss: 2.346 | Acc: 33.976% 
001  00187 |Loss: 2.343 | Acc: 34.045% 
001  00188 |Loss: 2.342 | Acc: 34.113% 
001  00189 |Loss: 2.341 | Acc: 34.152% 
001  00190 |Loss: 2.340 | Acc: 34.219% 
001  00191 |Loss: 2.340 | Acc: 34.256% 
001  00192 |Loss: 2.338 | Acc: 34.322% 
001  00193 |Loss: 2.337 | Acc: 34.395% 
001  00194 |Loss: 2.336 | Acc: 34.399% 
001  00195 |Loss: 2.335 | Acc: 34.479% 
001  00196 |Loss: 2.334 | Acc: 34.503% 
001  00197 |Loss: 2.332 | Acc: 34.577% 
001  00198 |Loss: 2.331 | Acc: 34.628% 
001  00199 |Loss: 2.331 | Acc: 34.685% 
001  00200 |Loss: 2.329 | Acc: 34.758% 
001  00201 |Loss: 2.328 | Acc: 34.768% 
001  00202 |Loss: 2.327 | Acc: 34.839% 
001  00203 |Loss: 2.326 | Acc: 34.918% 
001  00204 |Loss: 2.325 | Acc: 34.957% 
001  00205 |Loss: 2.325 | Acc: 34.950% 
001  00206 |Loss: 2.324 | Acc: 34.986% 
001  00207 |Loss: 2.323 | Acc: 35.024% 
001  00208 |Loss: 2.322 | Acc: 35.066% 
001  00209 |Loss: 2.320 | Acc: 35.153% 
001  00210 |Loss: 2.319 | Acc: 35.212% 
001  00211 |Loss: 2.318 | Acc: 35.260% 
001  00212 |Loss: 2.317 | Acc: 35.315% 
001  00213 |Loss: 2.317 | Acc: 35.336% 
001  00214 |Loss: 2.316 | Acc: 35.339% 
001  00215 |Loss: 2.315 | Acc: 35.414% 
001  00216 |Loss: 2.314 | Acc: 35.446% 
001  00217 |Loss: 2.313 | Acc: 35.509% 
001  00218 |Loss: 2.312 | Acc: 35.561% 
001  00219 |Loss: 2.311 | Acc: 35.584% 
001  00220 |Loss: 2.310 | Acc: 35.625% 
001  00221 |Loss: 2.309 | Acc: 35.672% 
001  00222 |Loss: 2.308 | Acc: 35.719% 
001  00223 |Loss: 2.307 | Acc: 35.741% 
001  00224 |Loss: 2.307 | Acc: 35.742% 
001  00225 |Loss: 2.305 | Acc: 35.809% 
001  00226 |Loss: 2.304 | Acc: 35.882% 
001  00227 |Loss: 2.303 | Acc: 35.934% 
001  00228 |Loss: 2.302 | Acc: 35.975% 
001  00229 |Loss: 2.302 | Acc: 36.009% 
001  00230 |Loss: 2.300 | Acc: 36.060% 
001  00231 |Loss: 2.299 | Acc: 36.093% 
001  00232 |Loss: 2.299 | Acc: 36.119% 
001  00233 |Loss: 2.298 | Acc: 36.162% 
001  00234 |Loss: 2.297 | Acc: 36.211% 
001  00235 |Loss: 2.296 | Acc: 36.273% 
001  00236 |Loss: 2.296 | Acc: 36.275% 
001  00237 |Loss: 2.295 | Acc: 36.323% 
001  00238 |Loss: 2.294 | Acc: 36.368% 
001  00239 |Loss: 2.292 | Acc: 36.461% 
001  00240 |Loss: 2.290 | Acc: 36.517% 
001  00241 |Loss: 2.289 | Acc: 36.576% 
001  00242 |Loss: 2.288 | Acc: 36.628% 
001  00243 |Loss: 2.287 | Acc: 36.683% 
001  00244 |Loss: 2.285 | Acc: 36.741% 
001  00245 |Loss: 2.284 | Acc: 36.795% 
001  00246 |Loss: 2.283 | Acc: 36.846% 
001  00247 |Loss: 2.281 | Acc: 36.912% 
001  00248 |Loss: 2.280 | Acc: 36.993% 
001  00249 |Loss: 2.280 | Acc: 37.014% 
001  00250 |Loss: 2.278 | Acc: 37.072% 
001  00251 |Loss: 2.277 | Acc: 37.111% 
001  00252 |Loss: 2.276 | Acc: 37.199% 
001  00253 |Loss: 2.275 | Acc: 37.241% 
001  00254 |Loss: 2.273 | Acc: 37.294% 
001  00255 |Loss: 2.273 | Acc: 37.313% 
