001  00119 |Loss: 4.105 | Acc: 4.917% 
001  00120 |Loss: 4.103 | Acc: 4.928% 
001  00121 |Loss: 4.100 | Acc: 4.939% 
001  00122 |Loss: 4.102 | Acc: 4.931% 
001  00123 |Loss: 4.098 | Acc: 4.954% 
001  00124 |Loss: 4.096 | Acc: 4.977% 
001  00125 |Loss: 4.094 | Acc: 5.000% 
001  00126 |Loss: 4.092 | Acc: 5.029% 
001  00127 |Loss: 4.089 | Acc: 5.050% 
001  00128 |Loss: 4.087 | Acc: 5.078% 
001  00129 |Loss: 4.085 | Acc: 5.099% 
001  00130 |Loss: 4.082 | Acc: 5.144% 
001  00131 |Loss: 4.079 | Acc: 5.159% 
001  00132 |Loss: 4.078 | Acc: 5.167% 
001  00133 |Loss: 4.076 | Acc: 5.193% 
001  00134 |Loss: 4.075 | Acc: 5.212% 
001  00135 |Loss: 4.071 | Acc: 5.255% 
001  00136 |Loss: 4.069 | Acc: 5.262% 
001  00137 |Loss: 4.067 | Acc: 5.275% 
001  00138 |Loss: 4.065 | Acc: 5.259% 
001  00139 |Loss: 4.063 | Acc: 5.289% 
001  00140 |Loss: 4.062 | Acc: 5.329% 
001  00141 |Loss: 4.059 | Acc: 5.347% 
001  00142 |Loss: 4.058 | Acc: 5.359% 
001  00143 |Loss: 4.056 | Acc: 5.392% 
001  00144 |Loss: 4.054 | Acc: 5.420% 
001  00145 |Loss: 4.051 | Acc: 5.436% 
001  00146 |Loss: 4.049 | Acc: 5.485% 
001  00147 |Loss: 4.046 | Acc: 5.506% 
001  00148 |Loss: 4.044 | Acc: 5.495% 
001  00149 |Loss: 4.041 | Acc: 5.511% 
001  00150 |Loss: 4.040 | Acc: 5.516% 
001  00151 |Loss: 4.038 | Acc: 5.536% 
001  00152 |Loss: 4.037 | Acc: 5.546% 
001  00153 |Loss: 4.034 | Acc: 5.576% 
001  00154 |Loss: 4.032 | Acc: 5.585% 
001  00155 |Loss: 4.030 | Acc: 5.600% 
001  00156 |Loss: 4.029 | Acc: 5.614% 
001  00157 |Loss: 4.027 | Acc: 5.638% 
001  00158 |Loss: 4.026 | Acc: 5.642% 
001  00159 |Loss: 4.023 | Acc: 5.670% 
001  00160 |Loss: 4.022 | Acc: 5.688% 
001  00161 |Loss: 4.022 | Acc: 5.702% 
001  00162 |Loss: 4.020 | Acc: 5.734% 
001  00163 |Loss: 4.018 | Acc: 5.766% 
001  00164 |Loss: 4.017 | Acc: 5.783% 
001  00165 |Loss: 4.014 | Acc: 5.772% 
001  00166 |Loss: 4.012 | Acc: 5.775% 
001  00167 |Loss: 4.012 | Acc: 5.768% 
001  00168 |Loss: 4.010 | Acc: 5.799% 
001  00169 |Loss: 4.008 | Acc: 5.802% 
001  00170 |Loss: 4.007 | Acc: 5.841% 
001  00171 |Loss: 4.005 | Acc: 5.866% 
001  00172 |Loss: 4.005 | Acc: 5.859% 
001  00173 |Loss: 4.003 | Acc: 5.880% 
001  00174 |Loss: 4.002 | Acc: 5.909% 
001  00175 |Loss: 4.001 | Acc: 5.924% 
001  00176 |Loss: 3.999 | Acc: 5.944% 
001  00177 |Loss: 3.997 | Acc: 5.950% 
001  00178 |Loss: 3.997 | Acc: 5.965% 
001  00179 |Loss: 3.995 | Acc: 5.975% 
001  00180 |Loss: 3.993 | Acc: 5.990% 
001  00181 |Loss: 3.991 | Acc: 6.039% 
001  00182 |Loss: 3.990 | Acc: 6.035% 
001  00183 |Loss: 3.988 | Acc: 6.075% 
001  00184 |Loss: 3.986 | Acc: 6.097% 
001  00185 |Loss: 3.985 | Acc: 6.106% 
001  00186 |Loss: 3.984 | Acc: 6.111% 
001  00187 |Loss: 3.982 | Acc: 6.112% 
001  00188 |Loss: 3.982 | Acc: 6.121% 
001  00189 |Loss: 3.981 | Acc: 6.109% 
001  00190 |Loss: 3.980 | Acc: 6.127% 
001  00191 |Loss: 3.979 | Acc: 6.135% 
001  00192 |Loss: 3.979 | Acc: 6.144% 
001  00193 |Loss: 3.977 | Acc: 6.161% 
001  00194 |Loss: 3.976 | Acc: 6.165% 
001  00195 |Loss: 3.975 | Acc: 6.186% 
001  00196 |Loss: 3.974 | Acc: 6.182% 
001  00197 |Loss: 3.973 | Acc: 6.214% 
001  00198 |Loss: 3.971 | Acc: 6.230% 
001  00199 |Loss: 3.970 | Acc: 6.246% 
001  00200 |Loss: 3.969 | Acc: 6.262% 
001  00201 |Loss: 3.968 | Acc: 6.262% 
001  00202 |Loss: 3.968 | Acc: 6.265% 
001  00203 |Loss: 3.966 | Acc: 6.296% 
001  00204 |Loss: 3.965 | Acc: 6.296% 
001  00205 |Loss: 3.963 | Acc: 6.311% 
001  00206 |Loss: 3.962 | Acc: 6.333% 
001  00207 |Loss: 3.961 | Acc: 6.325% 
001  00208 |Loss: 3.960 | Acc: 6.336% 
001  00209 |Loss: 3.958 | Acc: 6.347% 
001  00210 |Loss: 3.958 | Acc: 6.350% 
001  00211 |Loss: 3.956 | Acc: 6.354% 
001  00212 |Loss: 3.954 | Acc: 6.383% 
001  00213 |Loss: 3.953 | Acc: 6.397% 
001  00214 |Loss: 3.951 | Acc: 6.425% 
001  00215 |Loss: 3.949 | Acc: 6.443% 
001  00216 |Loss: 3.948 | Acc: 6.467% 
001  00217 |Loss: 3.946 | Acc: 6.495% 
001  00218 |Loss: 3.946 | Acc: 6.487% 
001  00219 |Loss: 3.944 | Acc: 6.493% 
001  00220 |Loss: 3.943 | Acc: 6.499% 
001  00221 |Loss: 3.942 | Acc: 6.512% 
001  00222 |Loss: 3.941 | Acc: 6.510% 
001  00223 |Loss: 3.939 | Acc: 6.530% 
001  00224 |Loss: 3.938 | Acc: 6.546% 
001  00225 |Loss: 3.937 | Acc: 6.552% 
001  00226 |Loss: 3.938 | Acc: 6.554% 
001  00227 |Loss: 3.936 | Acc: 6.563% 
001  00228 |Loss: 3.935 | Acc: 6.589% 
001  00229 |Loss: 3.933 | Acc: 6.595% 
001  00230 |Loss: 3.932 | Acc: 6.600% 
001  00231 |Loss: 3.932 | Acc: 6.612% 
001  00232 |Loss: 3.931 | Acc: 6.607% 
001  00233 |Loss: 3.931 | Acc: 6.602% 
001  00234 |Loss: 3.929 | Acc: 6.631% 
001  00235 |Loss: 3.928 | Acc: 6.632% 
001  00236 |Loss: 3.926 | Acc: 6.644% 
001  00237 |Loss: 3.925 | Acc: 6.649% 
001  00238 |Loss: 3.924 | Acc: 6.641% 
001  00239 |Loss: 3.922 | Acc: 6.665% 
001  00240 |Loss: 3.921 | Acc: 6.683% 
001  00241 |Loss: 3.920 | Acc: 6.691% 
001  00242 |Loss: 3.920 | Acc: 6.702% 
001  00243 |Loss: 3.919 | Acc: 6.732% 
001  00244 |Loss: 3.918 | Acc: 6.746% 
001  00245 |Loss: 3.916 | Acc: 6.770% 
001  00246 |Loss: 3.916 | Acc: 6.793% 
001  00247 |Loss: 3.914 | Acc: 6.800% 
001  00248 |Loss: 3.913 | Acc: 6.798% 
001  00249 |Loss: 3.913 | Acc: 6.805% 
001  00250 |Loss: 3.912 | Acc: 6.825% 
001  00251 |Loss: 3.910 | Acc: 6.841% 
001  00252 |Loss: 3.908 | Acc: 6.864% 
001  00253 |Loss: 3.908 | Acc: 6.886% 
001  00254 |Loss: 3.906 | Acc: 6.921% 
001  00255 |Loss: 3.903 | Acc: 6.945% 
001  00256 |Loss: 3.902 | Acc: 6.970% 
001  00257 |Loss: 3.902 | Acc: 6.983% 
001  00258 |Loss: 3.900 | Acc: 7.010% 
001  00259 |Loss: 3.899 | Acc: 6.998% 
001  00260 |Loss: 3.898 | Acc: 6.998% 
001  00261 |Loss: 3.898 | Acc: 7.010% 
001  00262 |Loss: 3.897 | Acc: 7.037% 
001  00263 |Loss: 3.896 | Acc: 7.049% 
001  00264 |Loss: 3.896 | Acc: 7.043% 
001  00265 |Loss: 3.895 | Acc: 7.049% 
001  00266 |Loss: 3.894 | Acc: 7.058% 
001  00267 |Loss: 3.893 | Acc: 7.078% 
001  00268 |Loss: 3.892 | Acc: 7.092% 
001  00269 |Loss: 3.891 | Acc: 7.101% 
001  00270 |Loss: 3.890 | Acc: 7.104% 
001  00271 |Loss: 3.888 | Acc: 7.124% 
001  00272 |Loss: 3.886 | Acc: 7.138% 
001  00273 |Loss: 3.885 | Acc: 7.137% 
001  00274 |Loss: 3.884 | Acc: 7.162% 
001  00275 |Loss: 3.882 | Acc: 7.185% 
001  00276 |Loss: 3.881 | Acc: 7.201% 
001  00277 |Loss: 3.880 | Acc: 7.223% 
001  00278 |Loss: 3.879 | Acc: 7.228% 
001  00279 |Loss: 3.877 | Acc: 7.238% 
001  00280 |Loss: 3.876 | Acc: 7.252% 
001  00281 |Loss: 3.875 | Acc: 7.262% 
001  00282 |Loss: 3.874 | Acc: 7.278% 
001  00283 |Loss: 3.873 | Acc: 7.296% 
001  00284 |Loss: 3.871 | Acc: 7.312% 
001  00285 |Loss: 3.869 | Acc: 7.322% 
001  00286 |Loss: 3.868 | Acc: 7.324% 
001  00287 |Loss: 3.868 | Acc: 7.314% 
001  00288 |Loss: 3.867 | Acc: 7.322% 
001  00289 |Loss: 3.865 | Acc: 7.329% 
001  00290 |Loss: 3.864 | Acc: 7.346% 
001  00291 |Loss: 3.863 | Acc: 7.364% 
001  00292 |Loss: 3.862 | Acc: 7.384% 
001  00293 |Loss: 3.860 | Acc: 7.389% 
001  00294 |Loss: 3.859 | Acc: 7.406% 
001  00295 |Loss: 3.858 | Acc: 7.410% 
001  00296 |Loss: 3.858 | Acc: 7.414% 
001  00297 |Loss: 3.856 | Acc: 7.431% 
001  00298 |Loss: 3.856 | Acc: 7.451% 
001  00299 |Loss: 3.854 | Acc: 7.460% 
001  00300 |Loss: 3.854 | Acc: 7.461% 
001  00301 |Loss: 3.852 | Acc: 7.501% 
001  00302 |Loss: 3.851 | Acc: 7.510% 
001  00303 |Loss: 3.850 | Acc: 7.534% 
001  00304 |Loss: 3.849 | Acc: 7.545% 
001  00305 |Loss: 3.848 | Acc: 7.561% 
001  00306 |Loss: 3.847 | Acc: 7.588% 
001  00307 |Loss: 3.845 | Acc: 7.601% 
001  00308 |Loss: 3.844 | Acc: 7.617% 
001  00309 |Loss: 3.843 | Acc: 7.623% 
001  00310 |Loss: 3.842 | Acc: 7.646% 
001  00311 |Loss: 3.841 | Acc: 7.652% 
001  00312 |Loss: 3.841 | Acc: 7.655% 
001  00313 |Loss: 3.840 | Acc: 7.658% 
001  00314 |Loss: 3.839 | Acc: 7.661% 
001  00315 |Loss: 3.838 | Acc: 7.679% 
001  00316 |Loss: 3.837 | Acc: 7.686% 
001  00317 |Loss: 3.837 | Acc: 7.679% 
001  00318 |Loss: 3.836 | Acc: 7.680% 
001  00319 |Loss: 3.835 | Acc: 7.692% 
001  00320 |Loss: 3.834 | Acc: 7.700% 
001  00321 |Loss: 3.833 | Acc: 7.705% 
001  00322 |Loss: 3.833 | Acc: 7.708% 
001  00323 |Loss: 3.832 | Acc: 7.723% 
001  00324 |Loss: 3.830 | Acc: 7.740% 
001  00325 |Loss: 3.829 | Acc: 7.762% 
001  00326 |Loss: 3.828 | Acc: 7.781% 
001  00327 |Loss: 3.828 | Acc: 7.779% 
001  00328 |Loss: 3.826 | Acc: 7.805% 
001  00329 |Loss: 3.825 | Acc: 7.817% 
001  00330 |Loss: 3.824 | Acc: 7.831% 
001  00331 |Loss: 3.823 | Acc: 7.853% 
001  00332 |Loss: 3.822 | Acc: 7.881% 
001  00333 |Loss: 3.821 | Acc: 7.892% 
001  00334 |Loss: 3.820 | Acc: 7.913% 
001  00335 |Loss: 3.818 | Acc: 7.927% 
001  00336 |Loss: 3.818 | Acc: 7.931% 
001  00337 |Loss: 3.817 | Acc: 7.956% 
001  00338 |Loss: 3.816 | Acc: 7.965% 
001  00339 |Loss: 3.815 | Acc: 7.981% 
001  00340 |Loss: 3.814 | Acc: 7.989% 
001  00341 |Loss: 3.813 | Acc: 8.010% 
001  00342 |Loss: 3.813 | Acc: 8.009% 
001  00343 |Loss: 3.812 | Acc: 8.013% 
001  00344 |Loss: 3.811 | Acc: 8.024% 
001  00345 |Loss: 3.811 | Acc: 8.032% 
001  00346 |Loss: 3.810 | Acc: 8.038% 
001  00347 |Loss: 3.809 | Acc: 8.049% 
001  00348 |Loss: 3.808 | Acc: 8.057% 
001  00349 |Loss: 3.807 | Acc: 8.083% 
001  00350 |Loss: 3.806 | Acc: 8.096% 
001  00351 |Loss: 3.805 | Acc: 8.109% 
001  00352 |Loss: 3.805 | Acc: 8.114% 
001  00353 |Loss: 3.804 | Acc: 8.113% 
001  00354 |Loss: 3.803 | Acc: 8.121% 
001  00355 |Loss: 3.801 | Acc: 8.145% 
001  00356 |Loss: 3.800 | Acc: 8.155% 
001  00357 |Loss: 3.800 | Acc: 8.156% 
001  00358 |Loss: 3.799 | Acc: 8.168% 
001  00359 |Loss: 3.799 | Acc: 8.174% 
001  00360 |Loss: 3.798 | Acc: 8.192% 
001  00361 |Loss: 3.797 | Acc: 8.202% 
001  00362 |Loss: 3.796 | Acc: 8.212% 
